time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003513,-0.1220,0.2060,0.2010,0.313
0.011907,0.0090,0.1580,0.2300,0.279
0.012472,0.1150,0.0870,0.1900,0.239
0.015989,0.1540,0.0030,0.1090,0.189
0.020184,0.1260,-0.0940,0.0410,0.162
0.024600,0.0790,-0.0920,-0.0540,0.133
0.029523,0.0360,-0.0940,-0.2170,0.239
0.034035,0.0080,-0.0700,-0.3120,0.320
0.039029,0.0070,-0.0850,-0.3790,0.388
0.043813,-0.0040,-0.0500,-0.3910,0.394
0.048596,-0.0180,-0.0640,-0.3360,0.343
0.053845,-0.0320,-0.0650,-0.2410,0.252
0.057782,-0.0190,-0.0790,-0.1460,0.167
0.062791,-0.0810,-0.0740,-0.0380,0.116
0.070412,-0.0400,-0.0740,0.0430,0.094
0.073833,0.0000,-0.0740,0.0570,0.093
0.077083,0.0540,-0.0470,0.0290,0.077
0.081795,0.0880,-0.0310,0.0010,0.093
0.086387,0.1150,-0.0310,-0.0390,0.125
0.090858,0.0880,-0.0170,-0.1200,0.150
0.095960,0.0740,-0.0170,-0.1480,0.166
0.100484,0.0430,0.0070,-0.1470,0.153
0.105090,0.0290,0.0070,-0.1470,0.150
0.110030,0.0140,0.0080,-0.1070,0.108
0.115197,0.0130,0.0230,-0.0250,0.036
0.119600,-0.0010,-0.0140,0.0680,0.069
0.124457,-0.0150,-0.0130,0.1220,0.124
0.129022,-0.0030,-0.0660,0.1620,0.175
0.133724,0.0360,-0.0790,0.1350,0.161
0.139374,0.0590,-0.0850,0.0650,0.122
0.143401,0.0990,-0.0700,0.0230,0.123
0.148197,0.0990,-0.0430,-0.0030,0.108
0.153546,0.0860,-0.0150,-0.0440,0.098
0.161869,0.0670,0.0240,-0.0300,0.077
0.162395,0.0400,0.0380,-0.0030,0.055
0.167204,-0.0140,0.0380,0.0360,0.054
0.172037,0.0120,0.0260,0.0630,0.069
0.176411,0.0360,0.0000,0.0630,0.073
0.181300,0.0490,-0.0260,0.0760,0.094
0.185688,0.0760,-0.0520,0.0490,0.104
0.190845,0.0630,-0.0380,0.0210,0.077
0.195257,0.0590,-0.0220,0.0210,0.066
0.200147,0.0170,0.0040,0.0480,0.051
0.205543,-0.0230,0.0320,0.0480,0.062
0.209869,-0.0230,0.0320,0.0200,0.044
0.214672,0.0030,0.0300,0.0070,0.031
0.218966,-0.0370,0.0170,-0.0060,0.041
0.223802,-0.0510,0.0040,-0.0060,0.052
0.228570,-0.0240,-0.0220,0.0200,0.038
0.233281,-0.0350,0.0170,0.0070,0.040
0.239339,0.0050,-0.0230,0.0210,0.032
0.242747,-0.0070,-0.0090,0.0210,0.024
0.247932,-0.0480,-0.0220,0.0340,0.063
0.252178,-0.0700,-0.0330,0.0340,0.085
0.260809,-0.0430,-0.0190,0.0340,0.058
0.261783,-0.0020,-0.0050,-0.0060,0.008
0.266348,0.0510,-0.0190,0.0060,0.055
0.271819,0.0480,0.0080,0.0470,0.068
0.275969,0.0200,0.0080,0.1010,0.103
0.281271,-0.0340,0.0360,0.1690,0.176
