time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003706,-0.0320,-0.1200,-1.7030,1.708
0.004091,0.0970,-0.1640,-1.3630,1.376
0.004707,0.1440,-0.2370,-0.8700,0.913
0.005032,0.1470,-0.2640,-0.2840,0.415
0.013777,0.0080,-0.3030,0.1900,0.358
0.014501,-0.0640,-0.2080,0.5610,0.602
0.019497,-0.1030,-0.1240,0.7630,0.780
0.024751,-0.0760,-0.0280,0.8030,0.807
0.029048,-0.0110,0.1300,0.7710,0.782
0.034519,0.0000,0.2660,0.5790,0.637
0.038578,-0.0670,0.3190,0.4160,0.528
0.047578,-0.1460,0.3700,0.2660,0.479
0.047965,-0.1590,0.3760,0.1520,0.436
0.053056,-0.1640,0.3290,0.0590,0.372
0.058850,-0.1530,0.3110,-0.0470,0.350
0.062536,-0.0990,0.2380,-0.1540,0.300
0.067288,0.0360,0.1380,-0.2420,0.281
0.072282,0.2160,0.0650,-0.3220,0.393
0.077568,0.3980,-0.0040,-0.3210,0.511
0.081692,0.4980,-0.1000,-0.3470,0.615
0.086070,0.5480,-0.1790,-0.3230,0.661
0.091868,0.5350,-0.2040,-0.3380,0.665
0.094731,0.4700,-0.2140,-0.4070,0.658
0.100424,0.4180,-0.1940,-0.4230,0.626
0.104905,0.4280,-0.1080,-0.4270,0.614
0.109532,0.5210,-0.0180,-0.3760,0.643
0.114357,0.5590,0.0860,-0.3530,0.667
0.119042,0.5050,0.1590,-0.3650,0.643
0.123150,0.4410,0.1960,-0.3830,0.616
0.128646,0.3790,0.2500,-0.3480,0.572
0.138908,0.3580,0.2910,-0.2720,0.536
0.139339,0.3560,0.2700,-0.1750,0.480
0.142681,0.3490,0.2960,-0.0300,0.459
0.148031,0.3750,0.2690,0.1540,0.487
0.151667,0.3900,0.2010,0.3530,0.563
0.158028,0.3170,0.0570,0.4940,0.590
0.161618,0.1280,-0.0520,0.5980,0.614
0.166826,-0.4790,-0.0420,0.5260,0.713
0.170956,-0.5700,0.1010,0.6600,0.878
0.176192,-0.1750,0.3120,0.8080,0.884
0.180679,0.2090,0.4110,0.9150,1.025
0.185656,0.4000,0.4520,0.9700,1.142
0.190668,0.3980,0.4240,0.9700,1.131
0.194454,0.2210,0.3230,0.9440,1.022
0.199439,0.1330,0.2480,0.8780,0.922
0.204979,0.0710,0.2110,0.8000,0.830
0.209088,0.0970,0.2030,0.6930,0.729
0.214370,0.1030,0.2840,0.5490,0.627
0.221548,0.0970,0.3490,0.3640,0.514
0.222273,0.1060,0.4400,0.1530,0.478
0.228108,0.0820,0.4740,-0.0580,0.485
0.234163,0.0640,0.5050,-0.2260,0.557
0.237154,0.0340,0.5670,-0.4090,0.700
0.241862,-0.0210,0.6020,-0.5920,0.845
0.246965,-0.0820,0.5730,-0.6850,0.897
0.251680,-0.1490,0.5520,-0.8120,0.993
0.256495,-0.2160,0.5230,-0.8740,1.041
0.261021,-0.2560,0.5390,-0.9230,1.099
0.265873,-0.2760,0.4250,-0.9240,1.054
0.270676,-0.3030,0.4120,-0.9600,1.088
0.275203,-0.3060,0.3930,-0.9980,1.115
0.279925,-0.2710,0.3910,-0.9840,1.093
0.284823,-0.2000,0.3280,-1.0020,1.073
0.288503,-0.1390,0.2890,-1.0170,1.066
0.294444,-0.0240,0.2810,-1.0200,1.058
0.299242,0.0480,0.2350,-0.9380,0.968
0.304091,0.1240,0.2410,-0.8730,0.914
0.307709,0.1200,0.2950,-0.7690,0.832
0.313050,0.0220,0.3640,-0.6400,0.737
0.317869,-0.1060,0.3470,-0.4960,0.615
0.322795,-0.2150,0.3610,-0.3520,0.548
0.327046,-0.2440,0.3520,-0.1970,0.471
0.332550,-0.2060,0.3170,-0.0420,0.380
0.337050,-0.0820,0.2570,0.1030,0.289
0.345113,0.0630,0.1940,0.1900,0.279
0.345604,0.2080,0.1040,0.2770,0.362
0.351384,0.3240,0.0550,0.3510,0.481
0.356142,0.4110,0.0250,0.4070,0.579
0.360620,0.5090,0.0010,0.5360,0.739
0.365170,0.5680,0.0420,0.5700,0.806
0.369876,0.5180,0.0540,0.5240,0.739
0.374282,0.3670,0.1130,0.4340,0.579
0.378950,0.2480,0.1900,0.3480,0.468
0.384272,0.1290,0.2920,0.2770,0.423
0.390494,-0.0280,0.3760,0.1730,0.415
0.392931,-0.1340,0.4320,0.0630,0.457
0.398117,-0.2120,0.5170,-0.0190,0.559
0.402559,-0.2200,0.6000,-0.0470,0.641
0.407275,-0.1610,0.6060,-0.0730,0.631
0.413792,-0.1360,0.6560,-0.0310,0.671
0.417796,-0.0560,0.6960,-0.0030,0.698
0.421562,0.0260,0.6390,0.0380,0.641
0.427761,0.0900,0.5280,0.0910,0.543
0.432630,0.1610,0.4400,0.1070,0.481
0.436361,0.2460,0.3130,0.0820,0.406
0.444366,0.2760,0.2140,0.0560,0.354
0.446835,0.3490,0.1080,0.0200,0.366
0.451018,0.3750,0.0350,-0.0180,0.377
0.456268,0.4300,0.0580,-0.0020,0.434
0.459277,0.3760,0.0810,-0.0010,0.385
0.464559,0.2570,0.1660,0.0160,0.306
0.469049,0.1890,0.2030,0.0310,0.279
0.474710,0.1880,0.2680,0.0460,0.331
0.479408,0.1110,0.2910,0.0540,0.316
0.483082,0.1090,0.3280,0.0560,0.350
0.488967,0.1080,0.3260,0.0020,0.343
0.492923,0.0950,0.3910,-0.0230,0.403
0.498413,0.1020,0.3800,-0.0530,0.397
0.502649,0.1300,0.4020,-0.0650,0.427
0.507695,0.1340,0.4130,-0.0630,0.439
0.511670,0.1790,0.4100,-0.0620,0.452
0.516878,0.1100,0.3860,-0.0100,0.401
0.521995,0.0760,0.3810,0.0180,0.389
0.526654,0.0430,0.3770,0.0740,0.387
0.530692,0.0230,0.3070,0.1030,0.325
0.535962,0.0520,0.2400,0.1630,0.295
0.540730,0.1650,0.1690,0.1910,0.304
0.544573,0.3180,0.0450,0.2190,0.389
0.550031,0.5230,-0.0100,0.2060,0.562
0.555282,0.6860,-0.0680,0.2420,0.731
0.559697,0.8210,-0.0960,0.2290,0.858
0.564256,0.8880,-0.1100,0.2290,0.924
0.568364,0.8430,-0.0750,0.1710,0.863
0.573598,0.8080,-0.0470,0.1430,0.822
0.577476,0.7520,0.0610,0.1160,0.763
0.583530,0.6700,0.1290,0.0750,0.686
0.588168,0.5390,0.2270,0.0530,0.587
0.592722,0.3730,0.3480,0.1080,0.521
0.597327,0.2400,0.4300,0.1890,0.527
0.602139,0.0270,0.5520,0.2710,0.616
0.607229,-0.1210,0.5700,0.3770,0.694
0.611615,-0.3030,0.6620,0.4880,0.876
0.616530,-0.3900,0.6720,0.5570,0.956
0.621054,-0.4640,0.6540,0.6410,1.027
0.625069,-0.4440,0.5680,0.6900,0.998
0.632559,-0.3950,0.5050,0.6800,0.935
0.634581,-0.2950,0.4700,0.6570,0.860
0.640670,-0.1160,0.4070,0.6060,0.739
0.644866,-0.0140,0.3340,0.5190,0.617
0.648705,0.1370,0.3100,0.4290,0.547
0.654706,0.2070,0.2980,0.3670,0.516
0.659251,0.2610,0.2660,0.3470,0.509
0.663385,0.3040,0.2800,0.3130,0.518
0.668248,0.3100,0.3220,0.2780,0.526
0.673387,0.3290,0.3500,0.2020,0.521
0.678087,0.2630,0.3500,0.1740,0.471
0.683102,0.2390,0.3500,0.0990,0.435
0.687731,0.1750,0.3660,0.0360,0.407
0.691694,0.0970,0.3830,-0.0260,0.396
0.697098,0.0680,0.3810,0.0150,0.387
0.702087,-0.0380,0.4390,0.0190,0.441
0.706517,-0.0890,0.4870,0.0640,0.499
0.711430,-0.1820,0.4960,0.1750,0.557
0.715911,-0.2200,0.5010,0.3080,0.628
0.720888,-0.2700,0.4560,0.4600,0.702
0.725890,-0.3090,0.4000,0.6380,0.814
0.729815,-0.3350,0.3040,0.8020,0.921
0.734044,-0.3290,0.1770,0.9070,0.981
0.740245,-0.3710,0.0270,0.9750,1.044
0.750796,-0.3320,-0.1080,0.9750,1.036
0.751290,-0.3300,-0.2360,0.9030,0.990
0.752899,-0.2390,-0.3810,0.8880,0.995
0.758732,-0.0970,-0.4760,0.8730,0.999
0.762580,0.0960,-0.5150,0.9130,1.053
0.768397,0.2080,-0.4140,0.9450,1.052
0.772769,0.3200,-0.3520,1.0230,1.128
0.777650,0.2300,-0.3090,1.0760,1.143
0.781975,0.1270,-0.3200,1.1300,1.181
0.786870,-0.0390,-0.2770,1.2180,1.250
0.791788,-0.1650,-0.3140,1.2710,1.320
0.796059,-0.2770,-0.3430,1.3260,1.397
0.801737,-0.3470,-0.3610,1.3550,1.445
0.806190,-0.3160,-0.3200,1.3360,1.410
0.810860,-0.2190,-0.3500,1.3650,1.426
0.815233,-0.1240,-0.4540,1.3690,1.448
0.820051,-0.0430,-0.5320,1.3460,1.448
0.824662,-0.0020,-0.6030,1.3090,1.441
0.829508,-0.0160,-0.7510,1.2600,1.467
0.836723,-0.0030,-0.9280,1.2110,1.526
0.839344,-0.0040,-0.9870,1.1140,1.488
0.843852,0.0070,-1.0890,1.0350,1.502
0.848351,0.0450,-1.1590,0.9740,1.515
0.853111,0.0840,-1.2720,0.8870,1.553
0.857872,0.1010,-1.2570,0.7460,1.465
0.863025,0.1240,-1.3480,0.6000,1.481
0.867580,0.2020,-1.4070,0.5000,1.507
0.871581,0.2660,-1.4270,0.3590,1.495
0.877250,0.2960,-1.3370,0.1810,1.381
0.881618,0.2770,-1.2940,0.0910,1.326
0.886666,0.2190,-1.2590,-0.0500,1.279
0.891342,0.1210,-1.1960,-0.1770,1.215
0.898001,-0.0160,-1.1010,-0.3320,1.150
0.901563,-0.1960,-1.0440,-0.4630,1.159
0.905580,-0.3500,-0.9780,-0.6060,1.203
0.911014,-0.5050,-0.9370,-0.7360,1.294
0.914079,-0.5780,-0.8340,-0.8810,1.344
0.919378,-0.6400,-0.7770,-0.9310,1.371
0.924408,-0.6210,-0.7730,-1.0080,1.414
0.928260,-0.5320,-0.7360,-1.0130,1.360
0.932958,-0.4530,-0.7550,-1.0100,1.340
0.938561,-0.4180,-0.8150,-0.9940,1.352
0.942402,-0.3950,-0.8470,-0.9370,1.323
0.947705,-0.3800,-0.8750,-0.8680,1.290
0.952143,-0.4320,-0.8620,-0.7990,1.252
0.956996,-0.4310,-0.8510,-0.6890,1.177
0.962089,-0.3900,-0.8530,-0.5790,1.102
0.965811,-0.3120,-0.7400,-0.4840,0.938
