time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000821,0.7082,0.5909,0.5259,1.062
0.005430,0.6918,0.6125,0.6878,1.152
0.010761,0.6352,0.6716,0.8475,1.254
0.017295,0.5757,0.7249,0.9344,1.315
0.022914,0.5312,0.7769,0.9732,1.354
0.024974,0.5104,0.8041,0.9503,1.345
0.030485,0.4983,0.8021,0.8712,1.285
0.035847,0.5185,0.7716,0.7602,1.201
0.040220,0.6796,0.6849,0.4328,1.057
0.045850,0.7154,0.7746,0.4927,1.164
0.050690,0.6887,0.7829,0.5663,1.187
0.056480,0.6426,0.7341,0.6061,1.149
0.062186,0.5730,0.7235,0.6314,1.118
0.066169,0.4755,0.7130,0.6472,1.074
0.071174,0.3889,0.6740,0.6059,0.986
0.075596,0.3463,0.6402,0.5936,0.939
0.081362,0.3523,0.6210,0.5719,0.915
0.085461,0.3921,0.5689,0.5835,0.904
0.094852,0.4563,0.4937,0.6188,0.914
0.095395,0.5018,0.3954,0.6442,0.907
0.101314,0.5291,0.3168,0.7025,0.935
0.106365,0.5382,0.2813,0.7650,0.977
0.111363,0.5194,0.2740,0.8555,1.038
0.116845,0.4964,0.2611,0.9642,1.115
0.120973,0.4733,0.2473,1.0484,1.177
0.126045,0.4495,0.2277,1.0989,1.209
0.131423,0.4338,0.2164,1.1542,1.252
0.135964,0.4446,0.1895,1.1857,1.280
0.141675,0.4479,0.1661,1.1178,1.216
0.147640,0.4865,0.1607,0.9798,1.106
0.151319,0.5272,0.1640,0.7770,0.953
0.156402,0.5757,0.1624,0.5572,0.818
0.162119,0.5992,0.1656,0.3823,0.730
0.166823,0.6410,0.1264,0.3513,0.742
0.172332,0.7750,0.0118,0.8287,1.135
0.176573,0.7539,-0.0120,0.7707,1.078
0.181751,0.6913,-0.0272,0.3904,0.794
0.185950,0.6191,-0.0242,-0.0439,0.621
0.191025,0.5860,0.0402,-0.2614,0.643
0.196971,0.5525,0.1141,-0.1926,0.596
0.201161,0.5305,0.1356,0.0274,0.548
0.206454,0.5557,0.1195,0.2409,0.617
0.211413,0.6031,0.0941,0.2676,0.666
0.216364,0.6390,0.0639,0.1898,0.670
0.222129,0.6684,0.0577,0.0606,0.674
0.226670,0.6917,0.0709,-0.0533,0.697
0.233524,0.6857,0.0844,-0.1853,0.715
0.237315,0.6750,0.1079,-0.2879,0.742
0.241329,0.6364,0.0986,-0.3374,0.727
0.247237,0.5518,0.0755,-0.3773,0.673
0.252031,0.4312,0.0767,-0.3363,0.552
0.258365,0.3029,0.0969,-0.2623,0.412
0.261738,0.2046,0.1024,-0.1985,0.303
0.267702,0.0976,0.1030,-0.1921,0.239
0.272830,0.0057,0.1173,-0.1667,0.204
0.277417,-0.0096,0.1263,-0.1366,0.186
0.284407,-0.0014,0.1110,-0.1542,0.190
