time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001430,0.2170,-0.0797,0.3368,0.409
0.001932,0.2074,-0.0644,0.3746,0.433
0.006237,0.2167,-0.0264,0.3835,0.441
0.013554,0.2204,0.0103,0.3500,0.414
0.017134,0.2183,0.0415,0.2792,0.357
0.025659,0.2056,0.0864,0.1718,0.282
0.028155,0.2063,0.1309,0.0565,0.251
0.037218,0.2395,0.1517,-0.0242,0.285
0.038027,0.2768,0.1540,-0.0895,0.329
0.042717,0.3141,0.1428,-0.1021,0.360
0.049467,0.3754,0.1370,-0.1097,0.414
0.053040,0.3612,0.1651,-0.0653,0.402
0.059430,0.3388,0.1932,0.0068,0.390
0.062756,0.3412,0.1977,0.0308,0.395
0.069972,0.4721,0.1506,-0.0638,0.500
0.071484,0.6881,0.0624,-0.1855,0.715
0.079908,0.6562,0.0703,0.0300,0.661
0.083269,0.6669,0.0451,0.2381,0.710
0.087132,0.6099,0.0292,0.3539,0.706
0.094236,0.5853,-0.0485,0.4589,0.745
0.103441,0.6964,-0.1454,0.5627,0.907
0.104017,0.7525,-0.1853,0.5708,0.962
0.107964,0.7163,-0.1642,0.5788,0.935
0.116982,0.6272,-0.1065,0.5016,0.810
0.117647,0.5478,-0.0549,0.3590,0.657
0.126457,0.4642,0.0335,0.2039,0.508
0.129719,0.3866,0.0829,0.0552,0.399
0.139111,0.3531,0.1271,-0.0871,0.385
0.139624,0.3590,0.1425,-0.1710,0.422
0.142880,0.3754,0.1535,-0.2115,0.457
0.148415,0.3688,0.1695,-0.2326,0.468
0.153417,0.3440,0.1528,-0.2298,0.441
0.160943,0.3245,0.1510,-0.2177,0.419
0.163460,0.3049,0.1499,-0.1772,0.383
0.169755,0.2755,0.1492,-0.1182,0.335
0.174889,0.2693,0.1348,-0.0692,0.309
0.181618,0.2716,0.1112,-0.0397,0.296
0.184008,0.2825,0.1117,-0.0295,0.305
0.187359,0.2738,0.1124,-0.0572,0.301
0.192984,0.2837,0.1228,-0.0753,0.318
0.198759,0.3220,0.1332,-0.1074,0.365
0.205840,0.3510,0.1486,-0.1344,0.404
0.208921,0.3330,0.1546,-0.1376,0.392
0.214436,0.2923,0.1846,-0.1407,0.373
0.218047,0.2529,0.1957,-0.1438,0.351
0.225078,0.2195,0.2117,-0.1042,0.322
0.228775,0.1726,0.2232,-0.0888,0.296
0.239170,0.1406,0.2350,-0.0260,0.275
0.239702,0.1229,0.2563,0.0315,0.286
0.243625,0.1095,0.2491,0.0695,0.281
0.250903,0.1190,0.2424,0.1072,0.290
0.255076,0.1273,0.2216,0.1161,0.281
0.260871,0.1532,0.2155,0.1107,0.287
0.264601,0.1732,0.2051,0.0673,0.277
0.271106,0.2020,0.1949,0.0291,0.282
0.274344,0.2304,0.1803,-0.0135,0.293
0.280188,0.2159,0.1943,-0.0273,0.292
0.283748,0.2018,0.2225,-0.0504,0.305
0.291683,0.1788,0.2504,-0.0829,0.319
0.293552,0.1757,0.2686,-0.1294,0.346
0.298326,0.1593,0.2677,-0.1422,0.342
0.303260,0.1676,0.2715,-0.1407,0.349
0.308789,0.1668,0.2992,-0.1393,0.370
0.315934,0.1470,0.3171,-0.1283,0.372
0.319003,0.1272,0.3541,-0.1460,0.404
0.324438,0.1166,0.3861,-0.1682,0.437
0.328252,0.1103,0.4086,-0.2377,0.485
0.335325,0.1227,0.4218,-0.2829,0.522
0.338854,0.1064,0.4495,-0.3420,0.575
0.347404,0.0899,0.4774,-0.3910,0.624
0.350163,0.0451,0.5104,-0.4065,0.654
0.354158,0.0150,0.5340,-0.4170,0.678
0.360671,-0.0149,0.5485,-0.4275,0.696
0.364726,-0.0300,0.5585,-0.4047,0.690
0.369984,-0.0450,0.5689,-0.3535,0.671
0.374828,-0.0266,0.5605,-0.2933,0.633
0.380291,-0.0035,0.5427,-0.2241,0.587
0.383616,0.0336,0.5250,-0.1887,0.559
0.393326,0.0561,0.5217,-0.1821,0.555
0.394122,0.0641,0.5135,-0.1755,0.546
0.404708,0.0768,0.5341,-0.1928,0.573
0.407363,0.0990,0.5263,-0.1956,0.570
0.417716,0.0976,0.5237,-0.2222,0.577
0.418703,0.1206,0.5214,-0.2438,0.588
0.419058,0.1345,0.5148,-0.2225,0.577
0.426767,0.1441,0.5132,-0.1730,0.560
0.429060,0.1493,0.5118,-0.1096,0.544
0.435181,0.1642,0.4962,-0.0419,0.524
0.440370,0.1695,0.4901,0.0061,0.519
0.447596,0.1747,0.4838,0.0491,0.517
0.449658,0.1750,0.4727,0.0964,0.513
0.461659,0.1938,0.4566,0.1291,0.513
0.462490,0.2167,0.4499,0.1520,0.522
0.470096,0.2245,0.4667,0.1558,0.541
0.470820,0.2221,0.4783,0.1453,0.547
0.473502,0.2336,0.5039,0.1159,0.567
0.480534,0.2306,0.5198,0.0773,0.574
0.485646,0.2515,0.5258,0.0342,0.584
0.492684,0.2724,0.5269,-0.0133,0.593
0.495514,0.2699,0.5281,-0.0651,0.597
0.502316,0.2679,0.5246,-0.0785,0.594
0.504063,0.2620,0.5212,-0.0776,0.588
0.514157,0.2566,0.5131,-0.0197,0.574
0.515077,0.2799,0.4955,0.0425,0.571
0.520568,0.2935,0.4682,0.1089,0.563
0.525547,0.2829,0.4455,0.1415,0.546
0.529228,0.2814,0.4513,0.1216,0.546
0.535870,0.2889,0.4329,0.0829,0.527
0.541117,0.3007,0.4528,0.0208,0.544
0.549149,0.3076,0.4345,-0.0266,0.533
0.550782,0.3099,0.4308,-0.0308,0.532
0.558270,0.2985,0.4177,-0.0350,0.515
0.561755,0.2829,0.4282,-0.0059,0.513
0.565330,0.2773,0.4194,0.0229,0.503
0.570279,0.2533,0.4198,0.0277,0.491
0.575219,0.2391,0.4153,0.0325,0.480
0.581099,0.2347,0.4203,0.0182,0.482
0.586005,0.2352,0.3920,0.0373,0.459
0.594062,0.2169,0.3592,0.0420,0.422
0.594927,0.2134,0.3221,0.0228,0.387
0.602254,0.1915,0.2998,0.0371,0.358
0.604592,0.1894,0.2590,0.0845,0.332
0.614010,0.1690,0.2186,0.1790,0.329
0.616873,0.1728,0.1593,0.2916,0.375
0.620657,0.1626,0.1002,0.3796,0.425
0.624590,0.1669,0.0504,0.4431,0.476
0.631553,0.1760,0.0146,0.5108,0.540
0.636912,0.2039,-0.0359,0.5210,0.561
0.641121,0.2126,-0.0582,0.5073,0.553
0.647191,0.2167,-0.0667,0.4463,0.501
0.651990,0.1783,-0.0471,0.3953,0.436
0.658615,0.1171,-0.0138,0.3589,0.378
0.661495,0.0519,0.0286,0.3181,0.324
0.676192,-0.0221,0.0516,0.2729,0.279
0.677070,-0.0907,0.0746,0.2375,0.265
0.677519,-0.1544,0.0788,0.2120,0.274
0.681800,-0.1801,0.0457,0.1630,0.247
0.687755,-0.1685,-0.0055,0.1381,0.218
0.690310,-0.0961,-0.0885,0.1229,0.179
0.696569,-0.0342,-0.1702,0.1601,0.236
0.704032,-0.0016,-0.2507,0.2208,0.334
0.706775,0.0068,-0.3161,0.2905,0.429
0.710426,0.0104,-0.3622,0.3785,0.524
0.714505,0.0090,-0.3893,0.4564,0.600
0.719813,-0.0591,-0.3931,0.5193,0.654
0.725006,-0.1320,-0.3690,0.5628,0.686
0.729931,-0.1767,-0.3268,0.5631,0.675
0.735844,-0.2032,-0.2949,0.5208,0.632
0.741529,-0.1834,-0.2682,0.4360,0.544
0.748326,-0.1316,-0.2700,0.3330,0.448
0.750613,-0.0525,-0.2664,0.1929,0.333
0.754733,0.0065,-0.2951,0.0539,0.300
0.760454,0.0652,-0.3223,-0.0506,0.333
0.765949,0.0814,-0.3670,-0.0973,0.388
0.771683,0.0796,-0.4055,-0.0581,0.417
0.775650,0.0412,-0.4285,0.0235,0.431
0.781337,0.0235,-0.4794,0.1709,0.509
0.787103,-0.0261,-0.5016,0.3408,0.607
0.791959,-0.0934,-0.5147,0.4902,0.717
0.796354,-0.1643,-0.5427,0.6052,0.829
0.801919,-0.2205,-0.5479,0.6860,0.905
0.807206,-0.2673,-0.5447,0.6901,0.919
0.814576,-0.2905,-0.5331,0.6467,0.887
0.817169,-0.2907,-0.5082,0.5941,0.834
0.823787,-0.3061,-0.4891,0.5277,0.782
0.826072,-0.3364,-0.4425,0.4714,0.729
0.832187,-0.3622,-0.4159,0.3775,0.668
0.837391,-0.3979,-0.3809,0.2655,0.611
0.841882,-0.4338,-0.3228,0.1733,0.568
0.847773,-0.4554,-0.2321,0.0962,0.520
0.851762,-0.4583,-0.1756,0.0244,0.491
0.859195,-0.4470,-0.1479,-0.0467,0.473
0.861134,-0.4123,-0.1296,-0.1031,0.444
0.868353,-0.3733,-0.1398,-0.1399,0.422
0.871567,-0.3349,-0.1447,-0.1574,0.397
0.876724,-0.3067,-0.1394,-0.1795,0.382
0.881842,-0.2839,-0.1381,-0.2109,0.380
0.887804,-0.2475,-0.1502,-0.2231,0.365
0.892916,-0.2024,-0.1848,-0.2161,0.349
0.897379,-0.1482,-0.2275,-0.1949,0.334
0.902133,-0.0898,-0.2833,-0.1168,0.319
0.907480,-0.0364,-0.3334,-0.0109,0.336
0.912268,-0.0022,-0.3783,0.0703,0.385
0.915992,0.0038,-0.4229,0.1272,0.442
0.923536,0.0340,-0.4484,0.1551,0.476
0.926688,0.0506,-0.4643,0.1637,0.495
0.934672,0.0392,-0.4663,0.1818,0.502
0.936127,0.0144,-0.4496,0.1807,0.485
0.941931,-0.0236,-0.4240,0.1605,0.454
0.947378,-0.0607,-0.3754,0.1453,0.407
0.951107,-0.1017,-0.3038,0.1112,0.339
0.959198,-0.1373,-0.2521,0.0679,0.295
0.962440,-0.1818,-0.2062,0.0582,0.281
