time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001766,-0.4600,-0.2650,-0.8050,0.964
0.002398,-0.4670,-0.1330,-0.9410,1.059
0.008137,-0.4630,-0.0070,-0.9770,1.081
0.011680,-0.5000,0.1150,-1.0190,1.141
0.016351,-0.4210,0.2270,-1.0080,1.116
0.021180,-0.2770,0.2880,-0.8880,0.974
0.025728,-0.1210,0.2830,-0.6810,0.747
0.030789,0.0340,0.2760,-0.4800,0.555
0.035077,0.1470,0.2460,-0.3340,0.440
0.045682,0.2050,0.2570,-0.2020,0.386
0.046363,0.2340,0.2000,-0.0280,0.309
0.054370,0.3190,0.1960,0.2000,0.424
0.055189,0.4350,0.1520,0.4690,0.657
0.059032,0.5800,0.0520,0.7520,0.951
0.063830,0.6810,-0.0520,0.9220,1.147
0.069150,1.0720,-0.2510,0.8110,1.367
0.078611,1.5770,-0.5210,0.4960,1.733
0.079442,1.3900,-0.5060,0.3590,1.522
0.082721,0.4000,-0.1510,0.6000,0.737
0.087983,-0.3970,0.1470,0.7220,0.837
0.092025,-0.5080,0.1440,0.4910,0.721
0.096862,-0.3170,0.0440,0.0830,0.331
0.101657,-0.2190,-0.0660,-0.2140,0.313
0.107144,-0.2600,-0.0830,-0.3500,0.444
0.111192,-0.3030,-0.0850,-0.4180,0.523
0.115807,-0.3610,-0.1010,-0.5000,0.625
0.120853,-0.3130,-0.1250,-0.5530,0.648
0.125486,-0.2470,-0.1530,-0.5810,0.650
0.130178,-0.1850,-0.1790,-0.5950,0.648
0.134894,-0.0950,-0.2190,-0.5820,0.629
0.144712,-0.0280,-0.2200,-0.5290,0.574
0.145345,0.0200,-0.2030,-0.4750,0.517
0.148611,0.0980,-0.1730,-0.3810,0.430
0.153825,0.1080,-0.1430,-0.3130,0.361
0.158404,0.1380,-0.1200,-0.1920,0.265
0.165383,0.1490,-0.1300,-0.0570,0.206
0.167947,0.1210,-0.1410,0.0510,0.193
0.178050,0.0930,-0.1540,0.0910,0.202
0.178822,0.1360,-0.1430,0.0890,0.216
0.182425,0.2030,-0.1020,0.0210,0.228
0.187215,0.2150,-0.0490,-0.0730,0.232
0.191893,0.2150,0.0290,-0.1950,0.292
0.196521,0.1890,0.0970,-0.3440,0.404
0.201222,0.1470,0.1330,-0.4800,0.519
0.206739,0.1470,0.1700,-0.5740,0.616
0.211020,0.1480,0.1800,-0.6290,0.671
0.215088,0.1790,0.1600,-0.6400,0.684
0.220194,0.2210,0.1560,-0.6260,0.682
0.224734,0.3470,0.1690,-0.5710,0.689
0.230046,0.4750,0.1820,-0.5430,0.744
0.235794,0.5530,0.1660,-0.5290,0.783
0.239094,0.6370,0.1380,-0.5560,0.857
0.244079,0.7260,0.0990,-0.6110,0.954
0.252334,0.7730,0.1020,-0.6650,1.025
0.253061,0.7540,0.0920,-0.6800,1.019
0.257868,0.6980,0.0810,-0.6530,0.959
0.264433,0.5640,0.0590,-0.5040,0.759
0.267473,0.4290,0.0240,-0.3140,0.532
0.272624,0.2880,0.0150,-0.0570,0.294
0.276580,0.2450,-0.0470,0.1590,0.296
0.281577,0.2050,-0.1100,0.3080,0.386
0.286372,0.2190,-0.0920,0.4710,0.528
0.290827,0.2710,-0.0780,0.5500,0.618
0.295609,0.3530,-0.1020,0.5500,0.661
0.300510,0.5340,-0.0870,0.4680,0.715
0.305685,0.7300,-0.0320,0.3870,0.827
0.310518,0.8290,0.0600,0.2070,0.857
0.314614,0.8700,0.1540,-0.0090,0.884
0.319433,0.8210,0.2630,-0.2000,0.885
0.324327,0.6900,0.3580,-0.3770,0.864
0.330372,0.4590,0.3550,-0.6050,0.838
0.333834,0.3380,0.3810,-0.6190,0.802
0.338133,0.3150,0.4380,-0.7000,0.884
0.343663,0.3330,0.4290,-0.7960,0.964
0.352868,0.3410,0.3850,-0.8750,1.015
0.353717,0.4380,0.3900,-0.9300,1.099
0.357494,0.5640,0.4130,-0.9720,1.197
0.363228,0.5950,0.4250,-1.0000,1.239
0.366793,0.5480,0.3980,-1.0120,1.218
0.371360,0.4940,0.4360,-0.9720,1.174
0.376552,0.5000,0.4930,-0.8380,1.093
0.381239,0.4920,0.5240,-0.7450,1.035
0.386208,0.4920,0.5000,-0.7150,1.002
0.390745,0.4260,0.5270,-0.6080,0.910
0.396074,0.3910,0.6140,-0.4610,0.862
0.400245,0.3430,0.7140,-0.2720,0.838
0.405080,0.2500,0.7760,-0.0370,0.816
0.410731,0.1460,0.8700,0.2470,0.916
0.414471,0.0440,0.8980,0.5170,1.037
0.418995,-0.0300,0.9110,0.7750,1.196
0.423899,0.0000,0.8130,0.9830,1.276
0.429336,0.5240,0.6790,1.1600,1.443
0.433671,1.7570,0.5320,1.3780,2.295
0.437925,1.8450,0.4770,1.1740,2.238
0.442634,1.6540,0.4790,0.9290,1.957
0.450521,1.4560,0.5660,0.6850,1.706
0.452111,1.1860,0.6130,0.4270,1.402
0.457069,0.8600,0.6450,0.1420,1.084
0.461883,0.5370,0.6210,-0.0960,0.827
0.466406,0.3010,0.6210,-0.2980,0.752
0.471174,0.1100,0.6250,-0.4330,0.768
0.475793,0.0000,0.6170,-0.5140,0.803
0.480856,0.0140,0.5000,-0.5610,0.752
0.485422,0.0680,0.4190,-0.6000,0.735
0.490194,0.1910,0.3310,-0.6260,0.733
0.494986,0.2870,0.3100,-0.6520,0.777
0.499481,0.3740,0.2890,-0.6610,0.813
0.504180,0.4440,0.2930,-0.6720,0.857
0.508869,0.4650,0.3270,-0.6850,0.890
0.513665,0.5010,0.3740,-0.7240,0.957
0.518378,0.5280,0.4090,-0.7990,1.041
0.523798,0.5610,0.4100,-0.9060,1.142
0.528294,0.5430,0.4160,-0.9860,1.200
0.533062,0.5100,0.3940,-1.0520,1.234
0.537749,0.4190,0.3200,-1.0990,1.219
0.542190,0.3520,0.2800,-1.1650,1.249
0.551327,0.3000,0.2170,-1.2310,1.285
0.551975,0.2880,0.1410,-1.2710,1.311
0.556421,0.2690,0.0830,-1.2790,1.310
0.561227,0.2800,0.0200,-1.3050,1.335
0.565935,0.3060,-0.0380,-1.2770,1.314
0.570447,0.3190,-0.0690,-1.2220,1.265
0.575318,0.3240,-0.0950,-1.1520,1.200
0.579820,0.3100,-0.1130,-1.0560,1.106
0.585846,0.2980,-0.1020,-0.9460,0.997
0.589429,0.2480,-0.0790,-0.8370,0.877
0.594565,0.2110,-0.0490,-0.7670,0.797
0.599109,0.1730,-0.0020,-0.7110,0.732
0.606728,0.1240,0.0430,-0.7220,0.734
0.608175,0.0600,0.1130,-0.8560,0.866
0.613142,-0.0130,0.1690,-1.0120,1.026
0.618052,-0.0640,0.2730,-1.2260,1.258
0.622922,-0.1150,0.3380,-1.4540,1.497
0.627385,-0.1410,0.3880,-1.7230,1.772
0.632323,-0.0760,0.3870,-2.0050,2.043
0.641297,0.0320,0.4320,-2.2180,2.260
0.642294,0.1930,0.4720,-2.3790,2.433
0.646894,0.2840,0.4480,-2.4310,2.488
0.656771,0.3730,0.3270,-2.4140,2.464
0.657523,0.4470,0.2470,-2.2480,2.305
0.660276,0.4960,0.1790,-1.9760,2.045
0.665542,0.5030,0.1010,-1.6360,1.715
0.669803,0.4370,0.0170,-1.2660,1.339
0.675038,0.3310,-0.0440,-0.8860,0.947
0.679432,0.2410,-0.1160,-0.4800,0.549
0.684349,0.1510,-0.2010,-0.1010,0.271
0.689177,0.0690,-0.2550,0.1510,0.304
0.693787,-0.0340,-0.3790,0.3110,0.491
