time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004516,-0.0030,-0.0150,0.0880,0.089
0.005169,-0.0420,-0.0160,0.1700,0.176
0.005603,-0.0760,-0.0370,0.2630,0.276
0.006076,-0.0880,-0.0390,0.2640,0.281
0.006440,-0.0880,0.0000,0.2370,0.253
0.011328,-0.1150,0.0100,0.1430,0.184
0.018678,-0.0830,0.0470,0.0760,0.122
0.021246,-0.0820,0.0850,-0.0450,0.126
0.025383,-0.0820,0.1100,-0.1250,0.186
0.030005,-0.0690,0.1210,-0.1790,0.227
0.034802,-0.0260,0.1090,-0.1750,0.208
0.039492,0.0150,0.1070,-0.1610,0.194
0.044879,0.0290,0.0790,-0.1740,0.193
0.048951,0.0020,0.0520,-0.1330,0.143
0.054218,-0.0090,0.0470,-0.0770,0.091
0.058426,-0.0220,0.0470,-0.0500,0.072
0.063449,-0.0350,0.0480,0.0170,0.062
0.067701,-0.0350,0.0490,0.0440,0.075
0.072592,-0.0450,0.0600,0.0310,0.081
0.077667,-0.0580,0.0600,0.0040,0.084
0.083511,-0.0720,0.0740,-0.0090,0.104
0.086823,-0.0590,0.0610,-0.0360,0.092
0.091490,-0.0420,0.0820,-0.0610,0.110
0.100773,-0.0150,0.0400,-0.0750,0.086
0.101492,0.0250,0.0130,-0.0880,0.092
0.105924,0.0250,0.0140,-0.1020,0.106
0.117537,0.0480,-0.0130,-0.0880,0.101
0.117941,0.0340,-0.0260,-0.0480,0.064
0.121253,0.0210,-0.0120,-0.0070,0.025
0.124391,0.0070,-0.0250,0.0060,0.027
0.129452,-0.0180,0.0020,0.0050,0.019
0.133999,-0.0170,-0.0240,0.0050,0.030
0.139000,-0.0710,-0.0240,0.0320,0.081
0.145227,-0.0830,-0.0100,0.0460,0.095
0.148234,-0.0890,-0.0070,0.1000,0.134
0.153122,-0.0590,-0.0070,0.1000,0.116
0.157769,-0.0170,0.0050,0.0860,0.088
0.162510,-0.0030,0.0050,0.0860,0.086
0.167150,-0.0150,0.0170,0.0320,0.039
0.172052,-0.0010,0.0170,0.0050,0.018
0.177734,-0.0280,0.0440,0.0190,0.056
0.181817,-0.0560,0.0580,0.0190,0.083
0.186420,-0.0780,0.0680,0.0200,0.105
0.191326,-0.1190,0.0810,0.0200,0.145
0.198272,-0.1600,0.0950,0.0740,0.200
0.200271,-0.1330,0.0810,0.1020,0.186
0.206102,-0.1120,0.0790,0.1160,0.180
0.210529,-0.0440,0.0650,0.1030,0.129
0.214775,0.0100,0.0370,0.1030,0.110
0.220029,0.0380,0.0360,0.0490,0.072
0.223968,0.0480,0.0340,0.0360,0.069
0.228998,0.0620,0.0340,0.0500,0.087
0.233733,0.0620,0.0470,0.0500,0.092
0.239034,0.0220,0.0200,0.0500,0.058
0.243412,-0.0300,0.0060,0.0220,0.038
0.247681,-0.0160,-0.0060,-0.0040,0.018
0.252519,-0.0030,-0.0200,-0.0310,0.037
0.257285,0.0230,-0.0470,-0.0450,0.069
0.262335,0.0860,-0.0710,-0.0460,0.121
0.266853,0.0990,-0.1110,-0.0600,0.160
0.271703,0.0860,-0.1250,-0.0600,0.163
0.277169,0.0870,-0.1110,-0.0870,0.166
0.281008,0.0820,-0.1330,-0.1160,0.195
0.286059,0.0410,-0.1190,-0.1300,0.181
0.290721,0.0420,-0.1050,-0.1160,0.162
0.299761,0.0560,-0.0910,-0.0760,0.131
0.300374,0.0530,-0.0480,-0.0360,0.080
0.304872,0.0260,-0.0190,-0.0230,0.040
0.309674,0.0120,0.0220,0.0030,0.025
0.314084,-0.0020,0.0500,0.0030,0.050
0.319080,-0.0530,0.0740,0.0180,0.093
0.323408,-0.0680,0.1150,0.0170,0.135
0.328470,-0.0960,0.1440,0.0310,0.176
0.334552,-0.1230,0.1580,0.0850,0.218
0.337730,-0.1660,0.1780,0.1010,0.264
0.343159,-0.1640,0.2050,0.0880,0.277
0.347386,-0.1370,0.2050,0.1010,0.266
0.352163,-0.0950,0.1920,0.0740,0.227
0.356652,-0.0760,0.1830,0.0910,0.218
0.361574,-0.0740,0.1420,0.0910,0.184
0.367465,-0.0740,0.1430,0.0630,0.173
0.370869,-0.0330,0.1030,0.0490,0.119
0.375689,-0.0310,0.0860,0.0500,0.104
0.381501,-0.0590,0.0870,0.0640,0.123
0.385840,-0.0330,0.0880,0.0770,0.121
0.389849,-0.0470,0.0760,0.0900,0.127
0.396645,-0.0450,0.0490,0.0900,0.112
0.399411,-0.0730,0.0370,0.1030,0.132
0.404874,-0.1150,0.0110,0.1160,0.164
0.409246,-0.1020,-0.0010,0.1700,0.198
0.413479,-0.0840,-0.0230,0.1550,0.178
0.418863,-0.1250,-0.0500,0.1820,0.226
0.423310,-0.2360,-0.0770,0.3050,0.393
0.428283,-0.0600,-0.0510,0.2920,0.302
0.432925,0.1070,-0.0460,0.2210,0.250
0.437318,0.2680,-0.0470,0.1540,0.313
0.442474,0.3340,-0.0490,0.0730,0.345
0.446882,0.3200,-0.0790,0.0060,0.330
0.451586,0.2220,-0.0780,-0.0350,0.238
0.456711,0.1660,-0.1070,-0.0890,0.217
0.461249,0.1390,-0.1230,-0.1290,0.226
0.465924,0.1120,-0.1110,-0.1550,0.221
0.471050,0.1300,-0.0710,-0.1820,0.235
0.475261,0.1290,-0.0580,-0.1550,0.210
0.480205,0.1150,-0.0450,-0.1410,0.187
0.485010,0.0880,-0.0320,-0.1000,0.137
0.489615,0.0580,-0.0320,-0.0730,0.099
0.496004,0.0310,-0.0320,-0.0180,0.048
0.499395,0.0460,-0.0460,0.0080,0.066
0.504305,0.0070,-0.0740,0.0220,0.078
0.509149,0.0080,-0.0720,-0.0320,0.079
0.513020,-0.0030,-0.0460,-0.0730,0.086
0.518039,-0.0420,-0.0070,-0.1540,0.160
0.522467,-0.0540,0.0180,-0.2210,0.228
0.527724,-0.0870,0.0220,-0.3000,0.313
0.532760,-0.0980,0.0470,-0.3400,0.357
0.536653,-0.1100,0.0610,-0.3260,0.349
0.541852,-0.1360,0.1020,-0.2850,0.332
0.546060,-0.1510,0.0930,-0.2140,0.278
0.551375,-0.1350,0.1070,-0.1320,0.217
0.555525,-0.1620,0.1100,-0.0650,0.206
0.560927,-0.1890,0.1130,-0.0250,0.222
0.565938,-0.2040,0.1090,-0.0240,0.233
0.569701,-0.2310,0.1260,0.0010,0.263
0.575090,-0.2200,0.1160,0.0130,0.249
0.579547,-0.1820,0.1200,0.0120,0.218
0.584291,-0.1470,0.1060,0.0260,0.183
0.588855,-0.1080,0.1100,0.0650,0.167
0.594941,-0.0700,0.1000,0.1590,0.200
0.598772,-0.0720,0.1050,0.2670,0.296
0.603034,-0.0570,0.0830,0.3460,0.360
