time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000635,0.5828,0.1873,0.2141,0.648
0.003578,0.5496,0.1936,0.3124,0.661
0.007625,0.5308,0.1854,0.3575,0.666
0.014000,0.5121,0.1674,0.3976,0.670
0.020807,0.5028,0.1635,0.4516,0.695
0.023407,0.5218,0.1448,0.4909,0.731
0.028599,0.5262,0.1446,0.4966,0.738
0.032714,0.5354,0.1390,0.4643,0.722
0.037568,0.5448,0.1658,0.3895,0.690
0.044081,0.5310,0.2015,0.3011,0.643
0.048284,0.5228,0.2600,0.1944,0.615
0.053838,0.5108,0.3036,0.1124,0.605
0.058823,0.4999,0.3466,-0.0023,0.608
0.066175,0.4950,0.3798,-0.1019,0.632
0.068536,0.4863,0.4128,-0.1436,0.654
0.072443,0.3599,0.4648,-0.3227,0.671
0.077798,0.1031,0.5840,-0.6097,0.851
0.090833,0.1911,0.6601,-0.3956,0.793
0.091684,0.2400,0.5937,-0.2926,0.704
0.102850,0.2545,0.4900,-0.2616,0.611
0.103713,0.3155,0.4303,-0.2451,0.587
0.104037,0.3037,0.4333,-0.1907,0.562
0.108092,0.2670,0.4226,-0.1557,0.524
0.113853,0.1775,0.3935,-0.1257,0.450
0.118678,0.1070,0.3793,-0.1007,0.407
0.123101,0.0370,0.3512,-0.0427,0.356
0.128532,-0.0229,0.3139,0.0006,0.315
0.133543,-0.0487,0.2912,0.0435,0.298
0.139184,-0.0644,0.2636,0.1098,0.293
0.143598,-0.0697,0.2264,0.1803,0.298
0.149193,-0.0412,0.1843,0.2312,0.298
0.157477,-0.0360,0.1561,0.2864,0.328
0.157983,-0.0306,0.1370,0.3221,0.351
0.163488,-0.0108,0.1316,0.3481,0.372
0.168147,0.0277,0.1114,0.3548,0.373
0.174208,0.0797,0.0957,0.3378,0.360
0.178167,0.1119,0.0941,0.3162,0.348
0.183647,0.1337,0.0781,0.2663,0.308
0.188649,0.1595,0.0812,0.2311,0.292
0.194917,0.1563,0.0891,0.1819,0.256
0.198230,0.1529,0.0924,0.1331,0.223
0.204443,0.1636,0.1054,0.0705,0.207
0.208995,0.1840,0.1139,0.0274,0.218
0.214850,0.1998,0.1084,0.0274,0.229
0.219326,0.2157,0.1081,0.0179,0.242
0.224288,0.2366,0.0937,0.0227,0.256
0.229307,0.2719,0.0846,0.0275,0.286
0.233369,0.2836,0.0712,0.0417,0.295
0.243559,0.2719,0.0486,0.0557,0.282
0.244153,0.2559,0.0359,0.1124,0.282
0.249410,0.2498,0.0138,0.1781,0.307
0.255184,0.2299,0.0201,0.2480,0.339
0.259663,0.1772,0.0262,0.2745,0.328
0.265371,0.1298,0.0323,0.2866,0.316
0.268389,0.0876,0.0525,0.3034,0.320
0.274205,0.0456,0.0726,0.3390,0.350
0.278860,0.0271,0.1023,0.3601,0.375
0.284795,-0.0014,0.1032,0.4190,0.432
0.288944,-0.0403,0.1471,0.4490,0.474
0.295873,-0.0466,0.1954,0.4834,0.524
0.300658,-0.0015,0.2102,0.4559,0.502
0.305360,0.0471,0.1966,0.4239,0.470
0.309859,0.0569,0.1929,0.3779,0.428
